id,tweet
3001,selamat pagi indonesia ^_^ (at oneshot photography ofice) —
3002,malam minggu besok ajak guelah memang tepat waktunya setiap malam mingu pasti ke sg jadi tidak-galau wakakaka
3003,tidak-bisa ngebayangin segitu busuknya dia melebihi apa yang saya pikir alah baik sangat sudah kasih jalan pisah bersyukur o:)
3004,� dok biasa'a dokter � jadul & gx suka update ilmu he„​�✣� h� iya cukup banyak � sbar ya dok :)
3005,eh eh jangan pacarn di tl malu di liat orang hehe hati ya sayang dijalan terima kasih buat malam ini emuah :
3006,repath ya neng sytg tafakur cinta :) (with maya at bali qui) [pic] —
3007,talise masomba :d jangan takut ber kicau jika kalian tidak-salah masonya dimana
3008,dingin cekaleh
3009,sudah cantik ;)
3010,pantas jaran gentayangan ternyata senior sedang sakit dan tidak-bisa beraktivitas seperti biasanya semoga cepat sembuh yapz
3011,just got this from close friends out there real shit [pic] —
3012,haha semangat beb :
3013,aku diam bukan berarti aku tidak-kecewa
3014,oh ysudah lupakan lah benar sudah kamu belum folow saya
3015,apakah benar
3016,abis anak bocah sudah cinta cintan :p
3017,: ) dear someone aku ingin hidup bahagia dengan orang yang benar- benar aku cinta dan orang itu adalah kamu ♥
3018,tidak-ada rekomendasi kuliner daerah jakarta nih yang aneh begitu :x
3019,hahaha makasih sayang hahart hapy birthday na pakai the world smiling ! :)
3020,jika 'perpisahan' memang jalan terbaik aku akan lakukan karena aku tahu tuhan sudah merencanakan yang terbaik buat aku
3021,gmornin'! et sudah bangun tetiba tengorokan serik lemah amat hash
3022,haha iya may makasih bek ultah hapy birthday deh cinta wkwk semoga sukses trus! semoga saya makin cantik
3023,cakap cinta itu saling berbagi kalau satu pihak saja yang bagi itu namanya jalinan kasih!
3024,maulah keju oke
3025,ah kamu kerja saja hanya jam sudah turun bonus yang orang jujur kalau kerja
3026,maksi wif sera sayang {} (at bumbu desa) —
3027,pas nyala telepon direjek kenapa tuh masa si demi apa nih
3028,w tidak-orang pada tidak-tahu yang penting kasus sudah ye odong-_-sep aplikom nomer kaga usah nih jadinya
3029,ye hal tidak-penting ngapain diurus wkwkwkw
3030,bebek bakar enak nih
3031,kan berarti cerpen yang saya buat benar kaka kelasku seperti monster
3032,alahuma shali ‘ala muhamad wa ’ala ali muhamad subhanalah merasakan keajaiban shalawat mari bershalawat saudar
3033,kalau saya punya peliharan kaya doraemon wih saya pasti skarang ada dyogya rampat bunaken atau kliling indonesia dengan pintu ajaib
3034,sikasik senja berganti malam rindu ini masih bertahta kepada kamu selamat tidur :)
3035,neng yang lama deh biar fredom
3036,katu eh :'( saki kalau than terus lbe baik kse kaluar lwat air mata :'(
3037,cinta sejati itu ada namun jika akhirnya harus berpisah angap sj tuhan ingin kamu bersama
3038,salah aturan tanya tanya saja sama -> #kepogaul di phpin itu rasanya gimana sih
3039,ini madu lama sekali netesnya ckck [pic] —
3040,tidak-kok salah y rt #dramaquen: banyak sangat ngementionya (�_�'!l)
3041,jangan banga dengan pengawal2 setia kita sat ini karena pada akhirnya hanya amalan kitalah (cont)
3042,ewh yang suka kamu makanin itu dih parah aje! campur belatung dong ayupuspita: cabe rawit yang busuk ege wkwk
3043,yang penasaran sama nilai hasil un retwet! #tenagekreatif
3044,macet parah bagaimana mau ke prj -_-
3045,pukpuk ☹ sudahlah lah kenapa ka kan enak keripik:d farizsyabari: ish
3046,indomie bakso pempek! meledak lama lama perut saya
3047,tidak-bisa kebuka tan foto saya yang kata lagi akrobat _ hahaha yang gaya kodok dong hahaha ava saya pas lagi di vil
3048,oh begitu iya soalnya aku risih sekali dia telepon sama sms aku dari tadi siang ras aku pikir dia benar kok kamu bisa tahu dia nipu
3049,sudah puas kan cepetan iya tangung sedikit � � ah iyu yes oh
3050,dan pas saya naik bis supir kenek pakai baju ala betawi mantap hut jakarta
3051,besok saya mau nonton ah seru kayaknya itu film :')
3052,semoga pasien saya niat semua kek biar lancar
3053,pelit ish</3
3054,aku sayang sama kamu tapi dia juga sayang sama kamu
3055,mengejar impian bersama tuhan tidak-ada yang mustahil
3056,pernah kelas #omspiktanya pernah di kejar orang gila tidak-pas kapan
3057,yang mau lulus hari ini rayakan kelulusan dengan cara yang elegan ya ☺
3058,dari pada so cantik mending sotau :d haha so tahu ieh :p timana nyah (cont)
3059,duit saya ambles secara cuma' az bingung kedepanya hahahaha yang tersisa haya 10rbu selamat uty
3060,menyia-nyiakan orang yang sayang sama kamu jangan sampai kamu pas butuh dia ternyata dia tidak-sayang sama kamu lagi
3061,kasih putih by glen fredly (at graha raya cluster flamboyan loka) —
3062,neduh sama dede nana gemes w/ stadion utama gelora bung karno (gbk) w/ others)
3063,israel's son by silverchair (at wgp apartment jalan boulevard raya kelapa gading) —
