1,1,oks kak semangat iya kalian kalian,0
2,0,sekarang harus kaya orang bodoh lagi bodoh sangat,0
3,1,begitu diumumkan lulus 100     mereka semua sujud syukur   dan langsung mengambil bunga saat dia menghampiri   langsung memeluk   menciumku   air mata tidak kuasa kubendung    mom   this is my birthday present for u      url,0
4,0,username     username   katanya bapak reformasi dan demokrasi di negeri kita ini   tapi kenyataannya sebaliknya tidak mau mengakui kelebihan seseorang pemimpin macam apa itu   tidak ada yang bisa diambil contoh dari nya kami sebagai generasi muda tolak,0
5,0,macet macetan perut kosong akhirnya mampir dahulu soto betawi   di gki pamulang     pic   â,0
6,0,pernyataan paling mengganggu telinga malam ini keluar dari mulut juru bicara pemerintah ali mochtar ngabalin      pemerintah adalah representasi tuhan di muka bumi    makin dekaden nalar demokrasi kita kalau pandangan begitu dibiarkan menguasai istana ternyata sama saja dengan pak tua itu itu,0
7,1,masi belum move on dari poto poto ini ceritanya lagi nyobain face filter hengpong syanggih punya diajeng astri eka pertiwi   gada orangnya   gausah dicari,0
8,1,dibalik kecemburuan   terselip rasa kasih sayang yang dalam maka dari itu   cemburu diperlukan dalam setiap hubungan   tetapi tetap dalam kadar yang wajar tentunya,1
9,1,kalau sudah sayang beneran itu mau dihadapkan sama cowok yang lebih kaya       ganteng       pinter       serba       dan lain lain itu pasti akan tetep tidak mau berpindah,0
10,1,username   pagi juga mas nya  duhjadi gaenak dapat ucapan selamat pagi dari netijen twitter tertawa ngomong ngomong dari kejauhan berapa kamu ini   alias darimana kota tempat tinggalmu   tertawa,0
11,0,efek pintu tol slipi arah semanggi ditutup   macet parah di sini pak polisi bukan ngatur bahkan jagain jalur busway   username     username     username     url,0
12,0,jangan shyok iya   di rw yalah kakak jadi selama ini   â  _â     sudah lama kali  _  rw tertawa ganti klam,-1
13,1,nonton hanya tidak dapat tiket ini hana     hem nanti malam sonichi bokuno taiyo nonton yu     penasaran ini,1
14,1,melakukan hal yang sebenernya kamu tidak suka   dengan bahagia hati   karena kamu tahu itu bikin pasangan kamu bahagia itu baru romantis,0
15,1,bikin cake ulang tahun dan hasilnya bagus yeye,1
16,0,jadi pusing kana sirah na oge,0
17,1,jadi orang tua itu begitu iya mau anaknya seperti apa keadaannya tetap sayang sangat   berjuang mati2an demi anak walopun lelah pulang kerja masi saja pulangnya nanyain perkembangan anaknya,0
18,1,romantis itu manis lebih manis lagi kalau dilakuin orang tg kita sayang semua bakal terasa seneng dan berbunga bunga tertawa seperti ada ribuan kupu kupu terbang yang ada diperut kalau lagi ada yang ngeromantisin begitu,0
19,0,hari ini saya lelah,0
20,0,toh iya saya jelasin ke kalian kalau saya sayang dia karena dia sahabat saya   kamu tidak pada percaya juga kan   kamu pada ngira kalau saya itu cinta sama dia hei   plis di highlight kalau sayang itu tidak melulu soal cinta cintaan,0
